index,file_name,program_name,start_time,end_time,speaker,transcription,start_time_ms,end_time_ms
0,0.wav,حملة ضد مونديال قطر,00:00:00.300000,00:00:26.090000,تركي القحطاني,اليومين الماضية جالس أدمن بودكاست ذا رمزي شو، هذا بودكاست عن المالية الشخصية يحاول يساعد الناس بتحسين قراراتهم سواء المالية أو الحياتية بشكل عام، فبأقولك عن ثلاث خطوات حقته يسميها خطوات بسيطة للحرية المالية يقول عليك تجمع أول شي ألف دولار، طوارىء بعدين تجمع ثلاثة إلى ستة رواتب بحيث تصبح أنت بنك لنفسك,300000,116000
1,1.wav,حملة ضد مونديال قطر,00:00:26.090000,00:00:26.630000,عمر العمران,أوكيه,116000,656000
2,3.wav,حملة ضد مونديال قطر,00:00:31.240000,00:00:49.460000,عمر العمران,يعني شفت قبل يومين تقريبًا أو شيء زي كذا بتويتر كان له مقطع أتوقع و كان ترجمة حاتم النجار في كذا مقطع 4 دقائق الظاهر وكان رهيب وكانت الترجمة بعد,271000,509000
3,4.wav,حملة ضد مونديال قطر,00:00:49.460000,00:00:55.970000,عمر العمران,هذا بودكاست الفجر من ثمانية بودكاست فجر كل يوم نسرد لكم فيه سياق الأخبار اللي تهمكم معاكم أنا عمر العمران,509000,1025000
4,5.wav,حملة ضد مونديال قطر,00:00:55.970000,00:01:01.100000,تركي القحطاني,وأنا تركي القحطاني,1025000,161000
5,7.wav,حملة ضد مونديال قطر,00:01:14.100000,00:01:24.030000,Speaker 3,منظمة 2020 كأس العالم هي دولة قطر,174000,114000
7,9.wav,حملة ضد مونديال قطر,00:02:42.480000,00:03:08.640000,عمر العمران,وثم بعدها بسنة منع الفيفا وارنر من أي وظيفة ونشاط بكرة القدم وقال أنه خالف سياسات الفيفا الداخلية عدة مرات لكن في 2017 وبعدما وصل رئيس جديد بعد بلاتر نشر الفيفا تقريره عن التحقيق اللي سواه عن ادعاءات الفساد وقال فيه أنه عملية التصويت كانت نزيهة بالكامل و ما صار فيها أي مخالفات لكن غير الفساد و خلال بداية أعمال البنية التحتية اللي سوتها قطر نشرت صحيفة القارديان تقريرها عبيد كأس العالم بقطر,642000,828000
8,10.wav,حملة ضد مونديال قطر,00:03:08.640000,00:03:13.470000,Speaker 4,882 مهاجرين عاملين…,828000,663000
9,11.wav,حملة ضد مونديال قطر,00:03:13.470000,00:03:23.430000,عمر العمران,في التقرير اللي سووه قابلوا أحد العمال النيباليين اللي يشتغلون قطر,663000,633000
10,12.wav,حملة ضد مونديال قطر,00:03:23.430000,00:03:53.220000,عمر العمران,كان يقول بينما كان راتبه في العقد ألفين وخمسمائة ريال قطري كان يستلم شهريًا ألف وثلاثمائة وخمسين ريال بس و أنه لذلك نادم لأنه كان يقدر يلقى فرصة بنفس الدخل في النيبال بدون ما يحتاج يسافر لقطر، و بحسب تقرير ثاني من القارديان فمن اليوم اللي فازت في قطر بالإستضافة مات أكثر من ستة آلاف وخمسمئة من اللي يشتغلون في قطر، وهذا الرقم معناه أنه في المتوسط يموت في الأسبوع إثنى عشر عامل لكن الرئيس التنفيذي لكأس العالم قطر ناصر الخاطر أعتبر هذا التقرير من القارديان خدمة لأهداف سياسية وعنصرية,633000,453000
